,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
6028,Ruin - Remixed / Remastered,As The Palaces Burn (10th Anniversary Edition),Lamb of God,2013-11-11,233920,39,0.179,4.75e-05,0.179,0.983,0.214,0.412,-3.7,0.192,191.26,3
6029,Invisible Wounds (Dark Bodies),Digimortal [Special Edition],Fear Factory,2001-04-16,234640,41,0.591,0.00498,0.591,0.719,0.000105,0.0884,-6.709,0.0422,152.034,4
6030,Doom Crew,Southern Concrete Sludge,Southern Concrete Sludge,2016-03-14,227000,13,0.3,0.000764,0.3,0.696,0.000219,0.406,-6.189,0.0392,111.74,3
6031,H.B.B. (HellBilly Booze Brigade),A.M.M.O.,Hell's Fire,2012-09-28,288640,10,0.597,0.000148,0.597,0.954,0.0049,0.342,-3.517,0.104,112.472,3
6032,My World,My World,Empty Trail,2018-01-19,230156,27,0.495,0.000848,0.495,0.922,5.64e-05,0.118,-6.325,0.0653,127.928,4
6033,Cars,Roadrunner Undercover,Various Artists,2009-09-01,207986,46,0.683,0.00744,0.683,0.88,1.29e-06,0.129,-4.88,0.0598,128.016,4
6034,Abstract Art,The Eternal Reign,Born Of Osiris,2017-02-24,195230,33,0.32,0.000125,0.32,0.946,0.729,0.258,-3.439,0.0882,150.048,4
6035,Du Hast,The Depression Sessions,Thy Art Is Murder,2016-08-12,231239,38,0.347,6.96e-05,0.347,0.981,0.000529,0.144,-4.243,0.165,129.102,4
6036,Cowboys from Hell,Whiskey Soaked Sermon,The Reverend Andrew James Gang,2019-03-17,254401,10,0.555,0.000202,0.555,0.865,0.0014,0.0902,-7.509,0.0514,100.085,4
6037,Monster In Me,Ride On,Texas Hippie Coalition,2014-10-07,214161,26,0.616,0.000184,0.616,0.881,0.079,0.0623,-3.158,0.0557,115.069,4
6038,No Shame,Pride of Texas,Texas Hippie Coalition,2008-01-01,212640,29,0.569,1.75e-05,0.569,0.96,0.809,0.181,-4.394,0.0904,108.078,4
6039,Wasteland,The Autumn Effect,10 Years,2005-01-01,229973,52,0.404,0.000344,0.404,0.797,0.000352,0.0824,-5.047,0.0763,146.58,4
6040,Silence the Echo,The Simulation,Born Of Osiris,2019-01-11,270800,42,0.451,0.000106,0.451,0.988,0.000135,0.12,-4.088,0.128,150.058,4
6041,Exhilarate,Tomorrow We Die Alive,Born Of Osiris,2013-08-20,214064,35,0.413,0.00023,0.413,0.979,6.13e-05,0.0882,-3.462,0.142,155.121,4
6042,Illusionist,Tomorrow We Die Alive,Born Of Osiris,2013-08-20,239100,36,0.43,0.000138,0.43,0.935,2.2e-05,0.408,-3.685,0.189,199.824,4
6043,...And Justice for All,…And Justice for All (Remastered),Metallica,1988-08-25,585506,47,0.383,7.22e-05,0.383,0.792,0.15,0.054,-7.34,0.182,173.655,4
6044,Harvester of Sorrow,…And Justice for All (Remastered),Metallica,1988-08-25,345283,44,0.656,0.0002,0.656,0.864,0.0966,0.248,-7.895,0.0408,93.202,4
6045,Feed The Machine,Until We Have Faces,Red,2011-02-01,310920,43,0.116,0.00055,0.116,0.948,0.154,0.469,-4.6,0.359,172.052,4
6046,Remember We Die,Memento Mori,Gemini Syndrome,2016-08-19,225263,56,0.497,0.000367,0.497,0.978,0.0,0.389,-4.356,0.072,92.022,4
6047,This Is The Time (Ballast),Nothing More,Nothing More,2014-06-23,220413,56,0.531,7.66e-06,0.531,0.979,0.0196,0.0944,-4.686,0.0663,110.023,4
6048,Killpop,.5: The Gray Chapter (Special Edition),Slipknot,2014-10-15,225066,63,0.306,0.000311,0.306,0.926,0.000644,0.0776,-2.754,0.0912,158.47,4
6049,Headup,Around the Fur,Deftones,1997-10-27,372973,51,0.263,0.000503,0.263,0.925,0.631,0.17,-5.299,0.118,105.253,4
6050,Polyamorous,Saturate,Breaking Benjamin,2002-01-01,176946,54,0.544,0.000132,0.544,0.895,0.107,0.147,-6.207,0.0522,98.128,4
6051,Crawl,Dear Agony,Breaking Benjamin,2009-01-01,238906,57,0.256,1.09e-05,0.256,0.916,1.01e-05,0.208,-3.383,0.0761,169.11,4
6052,Harley-Davidson,TNT,TNT,1983,245826,30,0.342,0.0224,0.342,0.811,0.0,0.324,-8.656,0.074,88.097,4
6053,Careless Whisper,Finding Beauty In Negative Spaces (Bonus Track Version),Seether,2007-01-01,296973,66,0.469,6.07e-05,0.469,0.943,0.00547,0.0717,-4.196,0.102,134.031,4
6054,Torn in Two,Ember,Breaking Benjamin,2018-04-13,257453,57,0.354,0.000113,0.354,0.943,0.0187,0.104,-3.633,0.288,94.416,4
6055,Failure,Dark Before Dawn,Breaking Benjamin,2015-06-23,214853,63,0.462,2.99e-05,0.462,0.89,0.00909,0.0685,-4.853,0.0382,155.008,4
6056,Machine,Tomorrow We Die Alive,Born Of Osiris,2013-08-20,264773,52,0.443,0.00398,0.443,0.991,0.000579,0.106,-3.458,0.281,155.045,4
6057,The Other Half Of Me,Soul Sphere,Born Of Osiris,2015-10-23,212205,40,0.335,0.00024,0.335,0.97,0.0,0.102,-2.586,0.14,195.136,4
6058,Sleeping Dogs,Book Of Shadows II,Zakk Wylde,2016-04-08,279373,49,0.494,0.0792,0.494,0.761,0.000712,0.222,-5.919,0.0271,80.953,4
6059,Next in Line,The Serenity of Suffering,Korn,2016-10-21,208386,38,0.568,0.000776,0.568,0.925,0.0539,0.076,-3.927,0.0842,107.931,4
6060,1992,1992,TIDALWAVE,2016-05-04,202546,38,0.392,0.000557,0.392,0.847,0.00238,0.347,-4.143,0.0467,87.04,4
6061,Dig Myself a Hole,Band of Brothers,HELLYEAH,2012-07-17,195666,23,0.437,0.00325,0.437,0.978,2.53e-06,0.091,-4.458,0.114,133.777,4
6062,Her Ghost in the Fog,Midian,Cradle Of Filth,2000-06-01,384813,47,0.379,0.00457,0.379,0.996,9.26e-06,0.0981,-3.023,0.285,128.049,4
6063,"The Louder The Sound, The More We All Believe",Soul Sphere,Born Of Osiris,2015-10-23,207870,26,0.442,0.000588,0.442,0.968,0.0,0.342,-2.899,0.122,154.997,4
6064,The Sleeping And The Dead,Soul Sphere,Born Of Osiris,2015-10-23,222222,26,0.235,0.00215,0.235,0.955,0.0,0.29,-3.089,0.232,200.152,4
6065,Goddess Of The Dawn,Soul Sphere,Born Of Osiris,2015-10-23,203705,25,0.428,0.000188,0.428,0.988,0.000275,0.133,-2.771,0.248,127.3,4
6066,Dear Agony,Dear Agony,Breaking Benjamin,2009-01-01,258253,62,0.358,8.49e-05,0.358,0.75,0.0,0.113,-3.572,0.0414,125.103,4
6067,"Monsoon Deserts / Canyonlands (From ""Planet Earth II"")",Metal Remixes 2017,Johari,2018-03-11,268965,13,0.437,0.000215,0.437,0.832,0.00622,0.135,-6.02,0.0376,174.043,4
6068,Car Crash,Human,Three Days Grace,2015-03-27,170906,50,0.548,0.165,0.548,0.913,0.0,0.279,-4.561,0.0768,146.047,4
6069,Torch,Look at Yourself,Emmure,2017-03-03,152300,34,0.194,0.000637,0.194,0.976,0.00144,0.181,-4.058,0.222,77.421,4
6070,Cold Wind,Shades of Grief,Decayer,2020-07-31,237799,31,0.446,0.000457,0.446,0.989,0.731,0.107,-2.853,0.189,91.291,4
6071,Innate Thirst,Innate Thirst,Dying Wish,2020-08-28,211522,34,0.3,1.56e-05,0.3,0.924,0.000161,0.518,-4.814,0.168,149.21,4
6072,Weight of the False Self,Weight of the False Self,Hatebreed,2020-09-11,163706,45,0.469,0.00436,0.469,0.972,0.0,0.19,-5.07,0.128,176.125,4
6073,Talented Sun,Talented Sun,Decayer,2020-07-10,274328,26,0.504,0.0019,0.504,0.994,3.45e-05,0.0586,-1.655,0.141,108.048,4
6074,Self Inflicted,Beauty is a Destructive Angel,Renounced,2019-09-27,262160,30,0.222,3.72e-05,0.222,0.965,0.000345,0.161,-5.22,0.227,166.978,4
6075,The Power - Extended Version,Famous (10 Jahre GUN Supersonic),Various Artists,2002-09-02,207240,42,0.61,5.7e-05,0.61,0.915,0.467,0.267,-3.079,0.0395,100.046,4
6076,Empty Promises,Ghosts in the Machine,Switched,2006,223106,12,0.313,0.000127,0.313,0.836,0.0,0.427,-7.012,0.0602,159.822,4
6077,How To Survive,EARTHANDSKY,Of Mice & Men,2019-09-27,236383,48,0.533,0.000257,0.533,0.979,0.000142,0.117,-4.119,0.11,99.914,4
6078,Shattered,Ghosts in the Machine,Switched,2006,205533,11,0.273,0.00225,0.273,0.913,0.0,0.157,-6.563,0.0582,169.967,4
6079,Complex Control,Complex Control,Inner Turmoil,2020-07-22,181551,26,0.257,8.86e-06,0.257,0.974,0.0169,0.273,-2.037,0.0549,152.044,4
6080,Source Field,Tomorrow We Die Alive,Born Of Osiris,2013-08-20,228428,28,0.475,3.37e-05,0.475,0.987,0.000218,0.343,-2.99,0.133,140.023,4
6081,Stitches,Candyass,Orgy,1998-08-18,198560,48,0.462,0.000674,0.462,0.915,0.163,0.145,-5.733,0.0697,97.325,4
6082,The Pathogen Downfall,The Pathogen Downfall,Andromida,2020-09-25,264000,32,0.5,6.31e-05,0.5,0.959,0.0941,0.0641,-3.745,0.0826,110.037,4
6083,On My Own,One-X,Three Days Grace,2006-06-13,185760,45,0.566,0.0201,0.566,0.848,0.0,0.216,-4.103,0.0376,117.02,4
6084,Buried In The Sand,"Si Vis Pacem, Para Bellum",Seether,2020-08-28,257493,45,0.57,0.000536,0.57,0.749,0.00989,0.0731,-5.349,0.033,116.957,4
6085,Pain,One-X,Three Days Grace,2006-06-13,202973,58,0.416,0.00804,0.416,0.741,0.0,0.273,-4.001,0.0335,160.515,4
6086,Nerve,Stabbing the Drama,Soilwork,2005-02-28,218746,47,0.51,3.49e-05,0.51,0.965,0.374,0.528,-4.537,0.0867,94.967,4
6087,Turns Cold to the Touch,Portrait of the Goddess,Bleeding Through,2002-04-30,256573,17,0.307,0.000105,0.307,0.975,0.000122,0.12,-2.919,0.166,145.693,4
6088,Drifting,Drifting,MAESON,2020-04-24,186076,10,0.419,0.000166,0.419,0.915,0.0,0.338,-6.259,0.0868,164.921,3
6089,Drowned In My Enemy,The Hidden Words,Fellsilent,2008,294626,17,0.298,0.000108,0.298,0.98,0.000777,0.16,-5.825,0.0865,129.885,3
6090,Primal Directive,Exoplanet,The Contortionist,2010-08-31,241920,25,0.523,0.000625,0.523,0.956,0.00135,0.26,-5.34,0.0936,112.03,4
6091,The Bad Thing,Juggernaut: Omega,Periphery,2015-01-23,353442,40,0.311,0.000216,0.311,0.953,2.19e-06,0.111,-4.96,0.172,132.856,4
6092,White Eyes,White Eyes,Changing Tides,2020-06-04,212888,27,0.507,2.58e-05,0.507,0.96,0.00212,0.0766,-8.441,0.0529,135.009,4
6093,Believed,Gift (Explicit Version),Taproot,2000-06-16,242133,22,0.486,0.000499,0.486,0.968,0.859,0.179,-5.878,0.0792,165.661,4
6094,Dark,Dark Before Dawn,Breaking Benjamin,2015-06-23,130280,44,0.745,0.163,0.745,0.42,0.936,0.105,-11.232,0.0386,114.975,4
6095,You Fight Me,Phobia (Explicit Version),Breaking Benjamin,2006-01-01,190840,44,0.475,0.000154,0.475,0.87,0.00745,0.102,-4.128,0.0458,142.943,4
6096,The Energy,Dirty Sexy Knights In Paris,Audiovent,2002-06-04,253200,42,0.429,1.4e-05,0.429,0.934,0.00168,0.246,-6.66,0.122,134.577,4
6097,I Fucking Hate You,Faceless,Godsmack,2003-04-08,247066,49,0.31,3.77e-05,0.31,0.973,1.01e-06,0.0973,-4.721,0.185,190.27,4
6098,Boiler,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,2000-10-17,420266,57,0.443,0.00393,0.443,0.722,0.0155,0.0373,-6.326,0.0865,111.324,4
6099,The Worst In Me,Bad Omens,Bad Omens,2016-08-19,229209,59,0.43,0.00109,0.43,0.945,5.5e-05,0.311,-2.662,0.102,170.081,4
6100,Circles,Circles,Johari,2020-10-25,285954,28,0.434,0.00129,0.434,0.956,0.0288,0.107,-3.857,0.0968,110.017,4
6101,You're Going Down,Tri-Polar (International Version),Sick Puppies,2009,187346,66,0.49,0.0116,0.49,0.833,0.000504,0.15,-5.899,0.0487,89.981,4
6102,No Regrets (Vol. 2),Survival Of The Sickest,Saliva,2004-08-17,301666,20,0.41,0.00168,0.41,0.735,1.26e-06,0.111,-5.762,0.0401,150.002,4
6103,Life Starts Now,Life Starts Now,Three Days Grace,2009-09-22,188080,50,0.234,0.0014,0.234,0.835,0.0,0.143,-3.952,0.0446,162.064,3
6104,Planets,Hail to the King,Avenged Sevenfold,2013-08-23,356306,50,0.535,0.000106,0.535,0.925,0.0148,0.181,-6.357,0.0406,140.021,4
6105,It's Been Awhile,Break the Cycle,Staind,2001-05-22,264706,68,0.509,0.00189,0.509,0.774,0.000549,0.143,-4.054,0.0338,116.529,4
6106,Soldiers,Full Circle,Drowning Pool,2007,211506,24,0.567,0.00186,0.567,0.849,0.000198,0.314,-6.862,0.0502,108.445,4
6107,Going Under,Blood Stained Love Story,Saliva,2007-01-01,236933,22,0.503,0.00165,0.503,0.832,0.114,0.102,-4.287,0.0278,100.038,4
6108,Unknown Soldier,Phobia (Collector Edition),Breaking Benjamin,2006-08-08,226362,39,0.408,1.19e-05,0.408,0.919,0.203,0.124,-4.735,0.0488,121.896,4
6109,Made Of Glass,Trapt,Trapt,2002-11-05,209493,42,0.615,0.000234,0.615,0.914,0.0,0.17,-4.871,0.0404,96.909,4
6110,Inside the Fire,Indestructible (Deluxe Edition),Disturbed,2008-04-29,231573,68,0.463,0.000233,0.463,0.962,0.109,0.0906,-6.43,0.0704,94.003,4
6111,Looking Down the Barrel of Today,The Concrete Confessional,Hatebreed,2016-05-13,161626,62,0.486,0.000662,0.486,0.986,0.048,0.29,-4.71,0.0818,180.085,4
6112,Holy Diver,As Daylight Dies (Special Edition),Killswitch Engage,2006-01-21,250253,66,0.369,7.6e-05,0.369,0.995,0.00589,0.241,-2.584,0.12,185.985,4
6113,Is There Anybody out There?,Is There Anybody out There?,Machine Head,2016-06-03,272665,65,0.408,0.00532,0.408,0.953,0.0,0.338,-3.883,0.226,177.94,4
6114,A New Beginning,The Beauty of Destruction,Devil You Know,2014-04-25,248853,27,0.506,0.00163,0.506,0.979,0.00327,0.389,-3.472,0.0922,111.026,4
6115,Wither,Special Effects,Tech N9ne,2015-05-04,283533,48,0.67,0.201,0.67,0.86,0.0,0.097,-3.183,0.0493,130.016,4
6116,Two Weeks,Overcome,All That Remains,2008-09-16,257346,66,0.558,0.00191,0.558,0.943,4.38e-05,0.248,-4.81,0.0535,111.994,4
6117,It's All About Time,What Is Hell About,Dagoba,2006,409173,34,0.331,3.4e-06,0.331,0.901,0.246,0.362,-4.073,0.075,94.933,4
6118,Scum Of The Earth,The Sinister Urge,Rob Zombie,2001-01-01,175266,49,0.523,9.18e-06,0.523,0.968,0.0089,0.0657,-4.053,0.07,140.01,4
6119,Human,Panoramic,32 Leaves,2009-08-19,230506,15,0.319,1.64e-05,0.319,0.899,1.49e-06,0.36,-4.599,0.0487,82.708,3
6120,Drawbar (feat. Tom Morello),The Hunting Party,Linkin Park,2014-06-13,166933,43,0.389,0.749,0.389,0.532,0.923,0.108,-10.796,0.028,68.462,4
6121,The Origin,Tomorrow We Die Alive,Born Of Osiris,2013-08-20,225332,31,0.512,5.9e-05,0.512,0.99,5.96e-05,0.124,-3.883,0.117,112.539,4
6122,Runaway,Hybrid Theory (Bonus Edition),Linkin Park,2000-10-24,183973,64,0.636,0.0142,0.636,0.884,0.0,0.253,-4.743,0.0584,109.16,4
6123,Prosthetic,Virus,Haken,2020-07-24,358133,48,0.429,0.00135,0.429,0.971,0.00804,0.108,-4.954,0.0854,186.02,3
6124,Flowers On A Grave,The Kingdom,Bush,2020-07-17,225149,59,0.183,0.000692,0.183,0.847,5.03e-06,0.164,-4.126,0.0664,92.09,4
6125,Death Is Coming,Death Is Coming,EXA,2020-12-11,273046,23,0.535,3.32e-05,0.535,0.968,0.41,0.329,-5.486,0.0766,102.989,4
6126,Mr. Loverman (feat. Chevelle Franklin),Reggae Classics,Various Artists,2007-12-28,338453,41,0.713,0.0115,0.713,0.685,2.19e-05,0.122,-8.663,0.142,172.957,4
6127,Wa Do Dem,Dread Meets Greensleeves,Dread Meets Greensleeves,2008,233346,0,0.848,0.354,0.848,0.634,0.0,0.17,-7.112,0.0568,77.508,4
6128,East of the River Nile - 1971 Version,Rebel Music: A Reggae Anthology,Various Artists,1979-01-01,167600,52,0.841,0.845,0.841,0.547,0.256,0.0704,-8.69,0.0601,112.852,4
6129,I Love King Selassie,Total Reggae: Classic Roots,Various Artists,2009-05-01,269133,41,0.593,1.95e-05,0.593,0.687,0.0,0.0801,-9.858,0.0426,145.466,4
6130,Zungguzungguguzungguzeng,Most Wanted Series - Yellowman,Yellowman,2007,387306,54,0.75,0.0497,0.75,0.474,0.0013,0.0896,-10.641,0.243,164.889,4
6131,Police In Helicopter,Police In Helicopter,John Holt,1983,219160,60,0.686,0.0331,0.686,0.652,8.34e-06,0.0578,-7.586,0.111,141.185,4
6132,Here I Come,Reggae Anthology: Sweet Reggae Music (1979-84),Barrington Levy,2012-12-14,217200,59,0.582,0.161,0.582,0.663,0.0,0.198,-6.547,0.0828,170.82,4
6133,Stalag 17,Double Barrel - The Best of Dave & Ansel Collins,Dave Collins,1995-01-01,179293,50,0.867,0.408,0.867,0.4,0.742,0.072,-9.49,0.255,81.125,4
6134,Revolution,Reggae Anthology: Dennis Brown - Crown Prince of Reggae - Singles (1972-1985),Dennis Brown,2010-11-12,259181,51,0.717,0.199,0.717,0.719,2.62e-06,0.195,-3.166,0.0995,84.623,4
6135,Last War,Total Reggae: Classic Roots,Various Artists,2009-05-01,240333,46,0.609,0.121,0.609,0.784,0.00281,0.421,-8.865,0.0831,155.556,4
6136,Inglan Is A Bitch,Straight To Inglan's Head - An Introduction To,Linton Kwesi Johnson,2003-01-01,324653,0,0.885,0.241,0.885,0.439,0.00121,0.0882,-10.862,0.393,137.95,4
6137,Babylon Too Rough,Total Reggae: Classic Roots,Various Artists,2009-05-01,173560,53,0.777,0.137,0.777,0.418,0.011,0.263,-8.084,0.112,73.283,4
6138,The Loser,Let's Do Rocksteady: The Story Of Rocksteady 1966-68,Various Artists,2002,217013,41,0.571,0.321,0.571,0.371,0.00022,0.0583,-9.799,0.0348,176.814,4
6139,Legalize It,The Essential Peter Tosh (The Columbia Years),Peter Tosh,1976,279800,53,0.701,0.128,0.701,0.784,0.0,0.0713,-7.212,0.204,145.249,4
6140,Hail H.I.M - 2002 Remastered Version,Hail H.I.M,Burning Spear,2002-07-08,255800,52,0.775,0.149,0.775,0.652,0.18,0.0458,-7.881,0.0583,137.866,4
6141,Blackman's Word (Black Man's Pride),Mr Soul of Jamaica,Alton Ellis,2013-05-13,169200,53,0.727,0.294,0.727,0.443,0.000316,0.169,-8.943,0.086,108.502,4
6142,World-A-Reggae,Ini Kamoze,Ini Kamoze,1984-06-08,230040,58,0.863,0.0105,0.863,0.457,0.000774,0.0978,-11.445,0.0601,73.724,4
6143,The Upsetter,Let's Do Rocksteady: The Story Of Rocksteady 1966-68,Various Artists,2002,185333,43,0.874,0.635,0.874,0.451,0.311,0.0937,-8.673,0.061,78.335,4
6144,Strong Me Strong,Reggae Classics,Various Artists,2007-12-28,228920,47,0.844,0.0304,0.844,0.835,0.0119,0.105,-8.715,0.0593,91.559,4
6145,Blood & Fire,Trojan Presents: Original Reggae,Various Artists,2011-01-01,184773,0,0.784,0.573,0.784,0.493,0.0178,0.0695,-6.434,0.0618,166.376,4
6146,Beat Down Babylon,Beat Down Babylon,Junior Byles,1972,155386,45,0.852,0.761,0.852,0.44,0.157,0.102,-11.456,0.0747,135.399,4
6147,Forward Ever Backward Never,Total Reggae: Classic Roots,Various Artists,2009-05-01,185533,37,0.902,0.0992,0.902,0.568,0.00703,0.122,-9.344,0.107,130.303,4
6148,Pass The Dutchie,Anthology,Musical Youth,1993-01-01,204733,0,0.8,0.427,0.8,0.428,0.0,0.5,-14.283,0.0978,149.846,4
6149,Bam Bam,One Two,Sister Nancy,2002-03-15,196506,1,0.722,0.825,0.722,0.605,0.0178,0.248,-6.07,0.153,165.998,4
6150,Bad Boys (Theme from COPS),Blazzin' Fire,Inner Circle,2010-12-14,229374,70,0.781,0.236,0.781,0.722,0.000398,0.077,-8.376,0.0667,87.858,4
6151,This Is Reggae Music,"Reggae Chartbusters, Vol. 4",Various Artists,2009-08-10,181413,0,0.843,0.391,0.843,0.807,0.177,0.15,-6.896,0.176,81.355,4
6152,Chase The Devil,War Ina Babylon,Max Romeo & The Upsetters,1976-01-01,207666,0,0.838,0.0807,0.838,0.34,0.0,0.105,-14.334,0.565,149.079,4
6153,Sister Big Stuff,The Treasure Isle Story,Various Artists,2017-07-28,151133,52,0.77,0.574,0.77,0.418,3.42e-06,0.0861,-7.834,0.133,83.041,4
6154,The International Herb,Too Long In Slavery,Culture,1990-01-01,200960,54,0.825,0.0585,0.825,0.433,0.0,0.0618,-13.085,0.337,127.686,4
6155,Sky Larking,Super Best,Horace Andy,2012-04-04,181394,52,0.818,0.367,0.818,0.475,9.14e-06,0.0524,-11.088,0.17,78.496,4
6156,Having A Party,"Scratch Came, Scratch Saw, Scratch Conquered","Lee ""Scratch"" Perry",2009-06-09,280960,56,0.739,0.405,0.739,0.758,5.18e-05,0.0808,-6.418,0.103,92.878,4
6157,Morning Sun,This Is Trojan Boss Reggae,Various Artists,2018-04-27,177360,53,0.654,0.414,0.654,0.395,0.000234,0.133,-12.187,0.0756,113.079,4
6158,Night Nurse,Night Nurse,Gregory Isaacs,1982,248693,0,0.841,0.043,0.841,0.309,0.0152,0.0368,-14.537,0.216,74.684,4
6159,Satisfaction,Trojan Presents: Original Reggae,Various Artists,2011-01-01,104333,0,0.76,0.647,0.76,0.407,8.15e-05,0.0798,-8.14,0.165,89.137,4
6160,People Funny Boy,Let's Do Rocksteady: The Story Of Rocksteady 1966-68,Various Artists,2002,155240,31,0.681,0.486,0.681,0.735,0.194,0.17,-5.742,0.146,170.097,4
6161,Police & Thieves,Police And Thieves,Junior Murvin,1977-01-01,244306,0,0.933,0.0583,0.933,0.363,0.0,0.161,-13.328,0.0971,127.158,4
6162,Cool Breeze,Riding the Roots Chariot,Various Artists,2013-03-26,203093,54,0.822,0.25,0.822,0.616,1.15e-05,0.107,-5.509,0.181,83.692,4
6163,Vision Of Redemption,Total Reggae: Classic Roots,Various Artists,2009-05-01,178426,43,0.745,6.3e-05,0.745,0.49,2.76e-05,0.144,-9.007,0.215,143.356,4
6164,I Shot The Sheriff,Burnin' (The Definitive Remasters),The Wailers,2001-01-01,281026,0,0.799,0.313,0.799,0.641,2.22e-05,0.0704,-9.33,0.171,96.806,4
6165,Sensimilea,Poor Man Style,Barrington Levy,1982-04-12,200800,43,0.777,0.00953,0.777,0.402,0.000848,0.0973,-9.378,0.156,73.412,4
6166,What Does It Take (To Win Your Love),The Treasure Isle Story,Various Artists,2017-07-28,196933,53,0.802,0.0896,0.802,0.562,0.000926,0.381,-8.538,0.0425,116.555,4
6167,La La Bam-Bam,Total Reggae: Classic Roots,Various Artists,2009-05-01,227480,44,0.851,8.39e-05,0.851,0.603,0.0,0.115,-8.436,0.049,125.243,4
6168,Gas at the Station (feat. John Milk),Singasong,Taggy Matcher,2014-11-28,252027,0,0.886,0.105,0.886,0.825,0.00475,0.0939,-9.856,0.0389,103.023,4
6169,007 (Shanty Town),This Is Crucial Reggae - Desmond Dekker,Desmond Dekker,2007,153600,0,0.86,0.0669,0.86,0.575,0.159,0.179,-6.747,0.0893,101.715,4
6170,Words of My Mouth,"The Best of Lee ""Scratch"" Perry","Lee ""Scratch"" Perry",2016-03-18,215520,36,0.864,0.044,0.864,0.604,5.02e-06,0.142,-8.189,0.0436,141.403,4
6171,Love Has Found Its Way,Ska & Reggae Classics,Various Artists,2018-05-25,266986,50,0.771,0.0573,0.771,0.581,2.14e-05,0.0758,-9.25,0.0719,100.065,4
6172,War Ina Babylon,War Ina Babylon (Expanded Edition),Max Romeo,1976,290626,0,0.647,0.0659,0.647,0.699,0.0,0.0683,-6.67,0.119,147.759,4
6173,Artibella,The Best of Ken Boothe,Ken Boothe,2016-06-03,135120,47,0.931,0.306,0.931,0.573,0.00168,0.0839,-8.932,0.276,132.145,4
6174,Revelation Dub,Fantastic Freeriding The Next Chapter,Fantastic Freeriding The Next Chapter,2006-07-14,215000,0,0.521,0.0327,0.521,0.807,0.841,0.125,-7.954,0.0852,163.998,4
6175,Marijuana,Trojan Dub Collection,Various Artists,2009-02-23,165173,0,0.777,0.0145,0.777,0.484,0.708,0.107,-8.721,0.253,81.776,4
6176,Stop You Coming And Come,Stop You Coming And Come,Steel Pulse,2018-12-07,251400,41,0.95,0.163,0.95,0.777,0.0,0.159,-4.706,0.0318,114.976,4
6177,Chalwa,Presents,10 Ft. Ganja Plant,2007-06-06,278320,0,0.775,0.228,0.775,0.611,0.892,0.0333,-7.093,0.0473,136.691,4
6178,King Tubby Meets The Rockers Uptown,True Reggae,Various Artists,2007-01-01,151486,0,0.768,0.0324,0.768,0.739,0.85,0.316,-10.412,0.0502,133.689,4
6179,Croaking Lizard,Super Ape,"Lee ""Scratch"" Perry",1976-01-01,206306,35,0.763,0.369,0.763,0.521,0.223,0.14,-13.824,0.355,148.321,4
6180,Dub You Haffe Dub,Brutal Dub,Black Uhuru,1991,284400,28,0.671,0.0561,0.671,0.515,0.528,0.0673,-14.009,0.0458,143.027,4
6181,The Alien Aborts,Good Times Skank: Joey Jay (Good Times Sound System),Various Artists,2002,198546,0,0.752,0.0243,0.752,0.491,0.499,0.264,-12.526,0.0731,147.942,4
6182,Low Di Herb,Smoke The Herb: The 2nd Pound,Various Artists,1999-10-26,200533,33,0.714,0.449,0.714,0.489,5.47e-05,0.0759,-10.305,0.315,172.291,4
6183,Break down the Walls,Profile,Mikey Dread,1991-01-01,249400,33,0.751,0.0165,0.751,0.418,2.65e-05,0.213,-15.045,0.386,165.571,4
6184,Hear Me Dub,Breaking Out,Jah Free,1996-07-08,223979,33,0.84,7.06e-05,0.84,0.375,0.877,0.0905,-13.114,0.0739,129.269,4
6185,Roots of Dub,Tribute To Studio One,King Tubby,2010-02-09,194413,33,0.645,0.266,0.645,0.568,0.712,0.112,-8.83,0.0525,76.903,4
6186,Wa Dem A Go Do Riddim,Irie Ites Meets Zenzile,Various Artists,2008-12-26,211373,35,0.804,5.17e-05,0.804,0.547,0.81,0.03,-16.497,0.0912,123.493,4
6187,Message In A Bottle - Dub,King Size Dub Vol.13,Various Artists,2010-05-28,249666,0,0.742,0.18,0.742,0.714,0.0199,0.125,-8.799,0.0647,140.958,4
6188,A Dancing Version,Trojan Dub Collection,Various Artists,2009-02-23,146053,0,0.677,0.00687,0.677,0.836,0.742,0.108,-4.894,0.11,82.309,4
6189,Great Dub In The Sky,Dub Side Of The Moon,Easy Star All-Stars,2003-02-18,261600,38,0.739,0.664,0.739,0.753,0.961,0.152,-6.679,0.0615,126.418,4
6190,Mission Impossible,Trojan Dub Collection,Various Artists,2009-02-23,197680,0,0.812,0.226,0.812,0.45,0.854,0.09,-8.612,0.0863,143.035,4
6191,Earthquake,Original Sounds Of The Zion,Zion Train,2002,278946,35,0.709,0.00113,0.709,0.93,0.81,0.36,-6.787,0.0398,145.01,4
6192,Jamaican Proverb,No Bed Of Roses,Dub Syndicate,2004-04-26,255533,0,0.809,0.00264,0.809,0.6,4.63e-06,0.108,-7.949,0.138,158.492,4
6193,Jah Jah Know,Hebron Gate,Groundation,2003,363866,0,0.734,0.101,0.734,0.496,1.42e-05,0.312,-9.612,0.178,81.693,4
