,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
20,"Disco Inferno - LP / 12"" Version",Atlantic 60th: On The Dance Floor Vol. 2,Various Artists,2007-10-30,655213,36,0.798,0.0304,0.798,0.746,0.361,0.0703,-8.639,0.0313,128.553,4
21,Shake Your Body,Shake Your Booty,KC & The Sunshine Band,2006-12-05,186573,0,0.651,0.0648,0.651,0.811,0.0293,0.1,-13.87,0.0318,112.126,4
22,Girls Just Want to Have Fun,The Best Of The 80's,Various Artists,2007-12-10,228120,65,0.705,0.414,0.705,0.847,3.21e-06,0.406,-2.588,0.0361,120.527,4
23,Self Control,The Best of Branigan,Laura Branigan,1995-06-06,246760,44,0.819,0.203,0.819,0.811,0.00558,0.139,-7.76,0.0349,106.684,4
24,That's the Way (I Like It) - Edit,The Very Best of KC & the Sunshine Band,KC & The Sunshine Band,1998-02-16,183666,42,0.656,0.0791,0.656,0.9,0.00142,0.354,-9.583,0.0354,108.698,4
25,Brick House,The Very Best Of The Commodores,Commodores,1995-01-01,214093,46,0.837,0.0343,0.837,0.695,0.00241,0.0415,-10.445,0.0566,107.701,4
26,I'm Every Woman,"Epiphany: The Best of Chaka Khan, Vol. 1",Chaka Khan,1996-11-08,247413,58,0.617,0.127,0.617,0.879,5.71e-05,0.339,-7.564,0.0455,114.453,4
27,Time Won't Wait,Dynamite,Jamiroquai,2005-06-15,301733,0,0.736,0.00666,0.736,0.875,4.54e-06,0.151,-5.841,0.0333,128.01,4
28,In the Stone - Edit,The Eternal Dance,"Earth, Wind & Fire",1992-09-08,264933,0,0.647,0.117,0.647,0.722,0.00043,0.0675,-9.857,0.0461,114.532,4
29,Pink Cadillac,Everlasting,Natalie Cole,1991-06-04,268666,0,0.901,0.41,0.901,0.576,9.72e-05,0.0447,-10.314,0.0566,124.995,4
30,I Shot The Sheriff,Burnin' (The Definitive Remasters),The Wailers,2001-01-01,281026,0,0.799,0.313,0.799,0.641,2.22e-05,0.0704,-9.33,0.171,96.806,4
31,"Get Outta My Dreams, Get Into My Car",Essential 80s - Classic Eighties Pop And Rock Hits,Various Artists,2009-10-09,283826,26,0.671,0.0364,0.671,0.896,4.28e-05,0.347,-6.715,0.0395,117.128,4
32,Caribbean Queen (No More Love On the Run),Pure... 80s,Various Artists,2012-07-13,244160,27,0.822,0.294,0.822,0.585,4.27e-06,0.073,-8.66,0.0277,113.804,4
33,Come With Me,Sabroso! (Reissue),Various Artists,2000-01-01,338906,0,0.662,0.356,0.662,0.769,0.116,0.0738,-10.438,0.0458,94.906,4
34,Nothing Can Come Between Us - Remastered,The Ultimate Collection,Sade,2011-05-09,232666,54,0.728,0.406,0.728,0.68,0.34,0.0513,-9.488,0.0301,103.74,4
35,Just Say Nothing,In Search of Better Days,Incognito,2016-06-24,281133,36,0.768,0.0275,0.768,0.906,0.000248,0.0632,-6.514,0.0972,109.988,4
36,Still A Friend Of Mine,Positivity,Incognito,1993,337760,48,0.655,0.237,0.655,0.543,0.00786,0.303,-14.134,0.0325,86.811,4
37,Stomp! - Single Version,Strawberry Letter 23/The Very Best Of The Brothers Johnson,The Brothers Johnson,2003-01-01,247133,60,0.859,0.154,0.859,0.782,0.0297,0.0693,-8.344,0.0369,119.518,4
38,Jungle Boogie,Wild And Peaceful,Kool & The Gang,1973-09,186533,64,0.808,0.115,0.808,0.85,0.000109,0.316,-8.772,0.0868,106.855,4
39,Put a Little Love on Me,Delegation - Collection,Delegation,2000-04-09,254960,29,0.783,0.39,0.783,0.769,0.00486,0.0649,-11.431,0.0569,111.515,4
40,You To Me Are Everything,Children of the Ghetto: The Pye Anthology,The Real Thing,1999-01-01,209733,61,0.643,0.233,0.643,0.909,0.0,0.081,-8.467,0.0958,102.203,4
41,Can't Get By Without You,The Very Best Of,The Real Thing,2006,189586,0,0.644,0.041,0.644,0.8,0.0,0.612,-8.279,0.0642,98.824,4
42,Lies,Early Butler,Jonathan Butler,2011-01-01,317570,26,0.719,0.0466,0.719,0.669,6.31e-06,0.0894,-11.314,0.0739,92.378,4
43,Wonderful,Times and Places,Shakatak,2016-09-30,269466,25,0.701,0.0812,0.701,0.768,1.88e-05,0.779,-7.148,0.0595,109.944,4
44,Video Killed The Radio Star,The Age Of Plastic,The Buggles,1980-01-10,252773,71,0.68,0.103,0.68,0.678,0.00828,0.204,-11.548,0.0754,131.165,4
45,One More Step to Take,Delegation - Collection,Delegation,2000-04-09,268266,28,0.687,0.0356,0.687,0.676,8.28e-05,0.237,-7.488,0.0318,111.879,4
46,(I've Had) The Time of My Life,Dirty Dancing (Legacy Edition),Various Artists,2007-04-30,406746,0,0.677,0.0614,0.677,0.847,0.00143,0.115,-7.657,0.0507,108.718,4
47,Night Fever,Number Ones,Bee Gees,2004-01-01,209400,0,0.696,0.014,0.696,0.783,0.000101,0.0794,-6.341,0.0291,109.183,4
48,99 Luftballons,80 Totally 80s Hits,Various Artists,2014-03-03,231466,0,0.636,0.0915,0.636,0.467,1.7e-06,0.117,-10.1,0.0421,96.639,4
49,Just Can't Get Enough - 2006 Digital Remaster,The Best Of Depeche Mode Volume One,Depeche Mode,2006,222540,0,0.765,0.465,0.765,0.853,0.0313,0.179,-7.434,0.0341,128.195,4
50,Fantasy - Single Version,"The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",1978-11-23,226213,1,0.666,0.291,0.666,0.714,0.0212,0.128,-9.448,0.0617,89.018,4
51,Rock the Boat,The Best of Disco,Various Artists,1996-11-25,180906,41,0.591,0.153,0.591,0.732,0.0,0.0897,-6.88,0.059,107.246,4
52,"Native New Yorker - 12"" Disco Mix",The Greatest Hits,Odyssey,1997-09-22,334760,37,0.519,0.245,0.519,0.837,0.107,0.922,-10.458,0.0905,106.23,4
53,Good Times - 2018 Remaster,The Chic Organization 1977-1979 (2018 Remaster),CHIC,2018-11-23,486186,55,0.869,0.0818,0.869,0.503,0.00837,0.187,-12.804,0.0479,112.664,4
54,Funky Town,Paradas Continuas,Various Artists,2010-02-01,239253,71,0.906,0.000547,0.906,0.63,0.616,0.0994,-8.071,0.0575,122.458,4
55,Let's Groove,Raise!,"Earth, Wind & Fire",1981-11-14,339320,74,0.869,0.121,0.869,0.648,2.17e-05,0.126,-8.698,0.0633,125.035,4
56,Rock Your Baby,The Singles 1974 - 76,George McCrae,2010-10-15,200053,61,0.594,0.169,0.594,0.906,0.00122,0.0778,-5.536,0.0594,104.411,4
57,D.I.S.C.O - English Version,The Best Of,Ottawan,2011-07-25,196506,54,0.714,0.111,0.714,0.867,8.55e-05,0.325,-6.295,0.0569,122.915,4
58,One Way Ticket,4 Hits: Eruption,Eruption,2011-07-15,213200,58,0.719,0.319,0.719,0.732,6.51e-06,0.0745,-9.227,0.0408,123.569,4
59,Rivers of Babylon,Nightflight to Venus,Boney M.,1978,261266,67,0.729,0.13,0.729,0.851,0.000912,0.443,-7.033,0.0362,115.118,4
60,Take on Me,Hunting High and Low,a-ha,1985-06-01,225280,84,0.573,0.018,0.573,0.902,0.00125,0.0928,-7.638,0.054,84.412,4
61,Another One Bites The Dust - Remastered 2011,The Game (2011 Remaster),Queen,1980-06-27,214653,82,0.933,0.112,0.933,0.528,0.312,0.163,-6.472,0.161,109.967,4
62,Every Breath You Take,Synchronicity (Remastered 2003),The Police,1983-06-17,253920,84,0.82,0.543,0.82,0.452,0.00294,0.0714,-9.796,0.0348,117.401,4
63,Lay All Your Love On Me,ABBA Gold,ABBA,2008-01-01,272506,66,0.695,0.0187,0.695,0.701,0.0464,0.251,-6.435,0.0281,133.0,4
64,Daddy Cool,Take The Heat Off Me,Boney M.,1976,208600,71,0.763,0.281,0.763,0.777,0.78,0.134,-6.932,0.0364,124.431,4
65,Break My Stride,80s Greatest Hits: Dance Party Music,80s Super Hits,2020-03-05,167673,40,0.765,0.118,0.765,0.612,0.0,0.0762,-7.723,0.0343,110.105,4
66,You And Me,Just For You And Me - The Greatest Hits Collection,Spargo,2019-02-01,254160,49,0.797,0.383,0.797,0.679,2.31e-05,0.0677,-9.645,0.0758,119.832,4
67,One Night Affair,Just For You And Me - The Greatest Hits Collection,Spargo,2019-02-01,261506,23,0.792,0.38,0.792,0.54,0.000256,0.074,-13.699,0.0799,122.163,4
68,"Boogie Wonderland (with The Emotions) - 12"" Version",The Legacy of Disco,Various Artists,2015-07-17,495826,50,0.753,0.0489,0.753,0.913,0.228,0.0419,-5.882,0.0294,132.008,4
69,Disco Inferno - Single Edit,Rhino Hi-Five: The Trammps,The Trammps,2005-09-20,191573,65,0.766,0.0261,0.766,0.844,0.605,0.18,-3.851,0.0361,129.323,4
70,Le Freak,C'est Chic,CHIC,1978-08-11,327573,1,0.867,0.0453,0.867,0.746,0.0,0.123,-7.445,0.0475,118.616,4
71,Hot Stuff,The Dance Collection,Donna Summer,1987-01-01,400440,0,0.797,0.00254,0.797,0.738,0.132,0.0433,-13.87,0.0341,120.494,4
72,Night Fever - 2007 Remastered Version Saturday Night Fever,Saturday Night Fever [The Original Movie Soundtrack],Bee Gees,1978-01-05,213400,0,0.729,0.0245,0.729,0.794,0.00125,0.0897,-7.208,0.0249,109.123,4
73,I Will Survive - Rerecorded,I Will Survive (Rerecorded),Gloria Gaynor,1982,265026,61,0.673,0.00309,0.673,0.752,0.0,0.112,-7.978,0.0491,120.041,4
74,You Make Me Feel (Mighty Real),Step II,Sylvester,1978,395573,0,0.643,0.0455,0.643,0.807,0.422,0.0493,-12.973,0.0319,131.567,4
75,Car Wash,Car Wash,Rose Royce,2007-01-01,312354,52,0.806,0.028,0.806,0.706,0.0,0.07,-6.044,0.0909,112.985,4
76,Got to Be Real - Single Version,The Best Of Cheryl Lynn: Got To Be Real,Cheryl Lynn,1996,228533,50,0.802,0.0585,0.802,0.599,0.00602,0.0804,-11.259,0.0537,114.651,4
77,It's Raining Men - Single Version,It's Raining Men,The Weather Girls,1982-04-30,212680,61,0.723,0.349,0.723,0.881,0.000274,0.705,-7.178,0.0743,136.306,4
78,Born to Be Alive,Born to Be Alive,Patrick Hernandez,1978,188133,68,0.704,0.0846,0.704,0.867,0.0,0.206,-5.808,0.0315,131.467,4
79,YMCA - Original Version 1978,YMCA,Village People,1978-01-01,286800,71,0.723,0.0643,0.723,0.969,0.0,0.115,-4.516,0.142,126.653,4
80,Last Night A D.J. Saved My Life,A Night To Remember,Tony Okungbowa and Jojo Flores,2012-05-01,250666,0,0.851,0.047,0.851,0.662,2.76e-05,0.148,-7.518,0.201,112.671,4
81,Ain't Nobody,"Epiphany: The Best of Chaka Khan, Vol. 1",Chaka Khan,1996-11-08,280853,70,0.799,0.189,0.799,0.878,0.000105,0.14,-7.109,0.0434,104.284,4
82,He's the Greatest Dancer,Atlantic 60th: On The Dance Floor Vol. 2,Various Artists,2007-10-30,375400,56,0.7,0.00115,0.7,0.816,0.00123,0.0901,-9.711,0.044,113.244,4
83,Young Hearts Run Free,Young Hearts Run Free (US Internet Release),Candi Staton,1976,248360,66,0.653,0.13,0.653,0.652,1.58e-05,0.202,-9.304,0.0427,115.388,4
84,Can't Take My Eyes Off Of You - Original Radio Edit,Can't Take My Eyes Off You,Boys Town Gang,1982,213016,59,0.691,0.0221,0.691,0.791,0.0148,0.0643,-7.974,0.0373,128.736,4
85,More Than A Woman - 2007 Remastered Version Saturday Night Fever,Saturday Night Fever [The Original Movie Soundtrack],Bee Gees,1978-01-05,197306,0,0.629,0.157,0.629,0.915,0.0,0.142,-4.181,0.0729,108.95,4
86,I'm Your Boogie Man,Part 3,KC & The Sunshine Band,1976,241920,53,0.765,0.0156,0.765,0.927,5.97e-06,0.0391,-5.715,0.0399,113.326,4
87,Best of My Love,The Best Of The Emotions: Best Of My Love,The Emotions,1996,219933,56,0.764,0.45,0.764,0.57,0.362,0.0812,-11.361,0.0348,115.376,4
88,Knock On Wood,Greatest Hits,Amii Stewart,2012-10-17,250520,58,0.689,0.0019,0.689,0.805,8.23e-05,0.0683,-11.199,0.0429,140.791,4
89,I Feel Love,The Dance Collection,Donna Summer,1987-01-01,493600,0,0.69,0.0127,0.69,0.675,0.648,0.0987,-16.247,0.0433,128.1,4
90,Jump (For My Love),Break Out,The Pointer Sisters,1983-11-06,267226,58,0.842,0.161,0.842,0.697,0.000101,0.583,-13.796,0.0654,134.533,4
91,"Everybody Dance - 12"" Mix","Dance, Dance, Dance: The Best of Chic",CHIC,1991,507000,50,0.764,0.0378,0.764,0.816,0.0164,0.0775,-8.017,0.109,128.541,4
92,Stars On 45 - Original Single Edit,Stars On 45,Stars On 45,1981-01-22,286580,53,0.779,0.345,0.779,0.653,2.44e-06,0.475,-10.827,0.0618,122.569,4
93,Relight My Fire - Single Version,70s Gems,Various Artists,2010-03-26,224333,51,0.759,0.0687,0.759,0.871,0.0,0.342,-7.034,0.0391,120.43,4
94,Victim Of Love - Remastered,Diamonds (Deluxe),Elton John,2017-11-10,202266,42,0.872,0.0228,0.872,0.79,4.45e-06,0.103,-7.173,0.0394,125.798,4
95,I Love to Love,I Love To Love - The Best Of,Tina Charles,1997-06-06,183693,60,0.677,0.143,0.677,0.703,6.96e-05,0.514,-9.344,0.0344,99.419,4
96,Smalltown Boy,The Age Of Consent,Bronski Beat,1984,303306,0,0.679,0.529,0.679,0.564,0.0709,0.275,-11.247,0.0267,134.586,4
97,Lady Marmalade,Best Of Patti Labelle,Patti LaBelle,1982,235266,57,0.571,0.551,0.571,0.654,0.0,0.0599,-11.034,0.0501,117.955,4
98,"Native New Yorker - 12"" Disco Mix",Odyssey (Expanded Edition),Odyssey,1977,336466,48,0.462,0.0852,0.462,0.884,0.0484,0.798,-8.722,0.0984,106.395,4
99,Give Me Love,"Cerrone I, II, III",Cerrone,2014-10-27,462000,0,0.802,0.277,0.802,0.864,0.00605,0.0554,-6.768,0.0848,127.11,4
100,Pick Up The Pieces,Running With Scissors,Various Artists,2006-01-01,240280,0,0.765,0.184,0.765,0.84,0.0834,0.022,-6.42,0.0373,107.355,4
101,I Want Your Love,C'est Chic,CHIC,1978-08-11,415466,0,0.706,0.0232,0.706,0.723,0.0441,0.0994,-9.235,0.0382,113.121,4
102,Shame,Smooth Talk (Expanded Edition),"Evelyn ""Champagne"" King",1977-10-22,499253,43,0.692,0.00904,0.692,0.843,0.0133,0.127,-5.537,0.0587,116.665,4
103,Xanadu,Xanadu - Original Motion Picture Soundtrack,Electric Light Orchestra,1980-06-01,208240,60,0.635,0.118,0.635,0.584,0.0,0.29,-9.112,0.0296,127.626,4
104,Feels Like I'm In Love - Original Radio Mix,Disco Funk Dancefloor,Various Artists,2011-03-09,260746,0,0.72,0.0644,0.72,0.823,0.00948,0.361,-7.634,0.0268,120.747,4
105,Pull Up To The Bumper,Nightclubbing (2014 Remaster / Deluxe),Grace Jones,2014-01-01,281693,0,0.848,0.142,0.848,0.868,0.0129,0.134,-7.599,0.0858,108.618,4
106,High Energy,NRG,Various Artists,2007-07-10,233866,42,0.904,0.313,0.904,0.67,0.000457,0.257,-11.168,0.0501,124.137,4
107,I Can Make You Feel Good,A Night To Remember,Shalamar,1999,256773,40,0.706,0.19,0.706,0.7,5.25e-06,0.0736,-10.251,0.0289,112.805,4
108,"Love Hangover - 12"" Version",All The Great Hits,Diana Ross,2000-01-01,474226,0,0.5,0.457,0.5,0.789,0.00491,0.0475,-6.385,0.0394,112.535,4
109,Burn Rubber On Me (Why You Wanna Hurt Me),True Funk [3 CD Set],Various Artists,2007-01-01,239400,0,0.747,0.0387,0.747,0.769,3.65e-05,0.0928,-8.976,0.0443,116.402,4
110,Shake It Up,"The 12"" Collection",Divine,1993-05-07,368693,46,0.593,0.00947,0.593,0.712,0.218,0.061,-12.946,0.0411,131.412,4
111,Knights in White Satin - Remastered,Knights in White Satin (Remastered Bonus Track Version),Giorgio Moroder,2013-05-09,285106,41,0.697,0.00143,0.697,0.658,0.156,0.181,-6.94,0.0319,107.515,4
112,Think It Over,Think It Over,Cissy Houston,1978-06-29,483441,41,0.887,0.0849,0.887,0.808,0.016,0.0477,-7.561,0.057,122.26,4
113,I Am What I Am,Gloria Gaynor '90 (All New Versions),Gloria Gaynor,1990,207106,54,0.644,0.0663,0.644,0.619,0.000494,0.107,-14.015,0.0376,119.616,4
114,It's Raining Men,Success,The Weather Girls,1982,325426,52,0.69,0.034,0.69,0.744,0.598,0.453,-12.721,0.0613,136.918,4
115,Fresh,Emergency,Kool & The Gang,1984-11-15,266560,0,0.849,0.0117,0.849,0.376,0.0843,0.0365,-16.779,0.0356,117.711,4
116,Dancing Queen,Arrival,ABBA,1976,230400,1,0.543,0.358,0.543,0.87,0.000939,0.792,-6.514,0.0428,100.804,4
117,Super Freak,Street Songs (Remastered),Rick James,1981-04-07,204413,1,0.835,0.206,0.835,0.796,0.0,0.041,-8.313,0.0545,132.448,4
118,Ring My Bell,Ring My Bell,Anita Ward,2005-09-26,491933,61,0.781,0.0661,0.781,0.556,0.0907,0.0339,-13.067,0.0611,125.999,4
119,I Will Survive - Extended Version,Silver Collection,Gloria Gaynor,2007-01-01,476986,32,0.787,0.015,0.787,0.861,0.061,0.345,-6.438,0.0415,116.384,4
120,I'm So Excited,Best Of,The Pointer Sisters,1989-10-21,229466,67,0.688,0.103,0.688,0.858,0.000118,0.147,-6.496,0.0348,92.253,4
121,Give Me the Night,The George Benson Collection,George Benson,1981,222626,66,0.85,0.314,0.85,0.466,0.0234,0.129,-15.673,0.0555,109.936,4
122,And the Beat Goes On,The Whispers / Happy Holidays to You,The Whispers,1979-01-01,296026,58,0.8,0.0711,0.8,0.608,0.000361,0.0466,-9.777,0.112,113.196,4
123,Cette année-là,Best Of,Claude François,2008-01-28,192506,38,0.656,0.214,0.656,0.78,0.0,0.0419,-5.812,0.0818,109.783,4
124,Kung Fu Fighting,The Soul of the Kung Fu Fighter,Carl Douglas,1972-02-13,197693,0,0.598,0.0422,0.598,0.673,6.84e-05,0.289,-10.431,0.0693,102.035,4
125,Stayin' Alive - Remastered Version,Number Ones,Bee Gees,2004-11-09,285200,0,0.675,0.0696,0.675,0.899,0.000139,0.33,-6.124,0.0418,103.683,4
126,Last Night a D.J. Saved My Life,The Collection,Indeep,1991,341426,54,0.968,0.154,0.968,0.345,0.00344,0.0425,-14.17,0.151,109.803,4
127,Just an Illusion,In the Heat of the Night,Imagination,1982,387866,44,0.752,0.295,0.752,0.549,0.115,0.0582,-10.532,0.0328,105.126,4
128,Get Down Saturday Night,True Soul 3 CD Set,Various Artists,2006-01-01,242800,0,0.851,0.245,0.851,0.576,0.0774,0.0607,-12.219,0.0606,116.53,4
129,Upside Down,Diana,Diana Ross,1980-05-22,244826,66,0.887,0.079,0.887,0.904,0.0101,0.0165,-5.107,0.0703,107.955,4
130,Ma quale idea,...Balla!,Pino D'Angiò,2016-01-20,262456,33,0.868,0.0334,0.868,0.788,2.6e-05,0.0801,-4.321,0.0547,114.674,4
131,Blame It on the Boogie,The Essential Michael Jackson,Michael Jackson,2005-07-19,210533,0,0.771,0.0784,0.771,0.786,0.0,0.122,-6.299,0.0904,113.281,4
132,Forget Me Nots,Straight From The Heart,Patrice Rushen,1982-01-01,275813,0,0.912,0.139,0.912,0.534,0.102,0.0387,-5.319,0.0366,114.681,4
133,That's the Way I Like It,Shake Your Booty,KC & The Sunshine Band,2006-12-05,185173,0,0.679,0.179,0.679,0.815,0.00056,0.349,-12.347,0.0348,108.7,4
134,Act Like You Know,Breakin' Out,Fat Larry's Band,1982-01-01,390013,53,0.745,0.24,0.745,0.781,3.11e-06,0.1,-7.701,0.125,103.303,4
135,Let's Groove,"The Best Of Earth, Wind & Fire-Vol. II","Earth, Wind & Fire",1988-05-30,334866,0,0.877,0.0628,0.877,0.557,0.0023,0.145,-10.79,0.0723,125.543,4
136,Fame,Fame: The Original Soundtrack from the Motion Picture,Various Artists,1980-05-16,316066,0,0.7,0.132,0.7,0.73,0.0,0.133,-8.763,0.0311,130.519,4
137,Ladies Night,Ladies' Night,Kool & The Gang,1979-01-01,385506,0,0.657,0.151,0.657,0.447,2.15e-05,0.0432,-15.75,0.143,111.815,4
138,Où sont les femmes,Best Of,Patrick Juvet,1995-01-01,376160,32,0.544,0.0969,0.544,0.728,0.138,0.125,-8.89,0.0476,122.457,4
139,Stomp! - Single Version,Strawberry Letter 23/The Very Best Of The Brothers Johnson,The Brothers Johnson,2003-01-01,247133,0,0.859,0.154,0.859,0.782,0.0297,0.0693,-8.344,0.0369,119.518,4
140,Got to Be Real,Cheryl Lynn (Expanded Edition),Cheryl Lynn,1978-07-17,307946,63,0.836,0.0943,0.836,0.626,0.742,0.153,-10.143,0.0335,114.657,4
141,"You're The First, The Last, My Everything",Barry White - The Collection,Barry White,1988-01-01,206936,0,0.633,0.000679,0.633,0.542,0.00434,0.0754,-12.318,0.0316,130.314,4
142,"Disco Inferno - LP / 12"" Version",Disco Inferno,The Trammps,1976,659000,51,0.799,0.0293,0.799,0.632,0.359,0.103,-12.364,0.0332,128.567,4
143,She Can't Love You,"Star Funk, Vol. 1",Various Artists,1992-01-01,309773,30,0.954,0.0102,0.954,0.523,5.31e-05,0.055,-12.294,0.0939,114.745,4
144,Flashdance...What a Feeling - Radio Edit,What a Feelin',Irene Cara,1983-01-01,237053,72,0.572,0.0058,0.572,0.654,3.21e-06,0.09,-7.027,0.0344,122.491,4
145,Don't Stop 'Til You Get Enough,Off the Wall,Michael Jackson,1979-08-10,365466,75,0.878,0.126,0.878,0.821,0.0461,0.183,-9.875,0.089,118.881,4
146,We Are Family,We Are Family,Sister Sledge,1979-02-15,216733,71,0.784,0.3,0.784,0.893,1.57e-05,0.272,-5.153,0.0923,118.738,4
147,Beat the Street,Beat the Street: The Very Best of Sharon Redd,Sharon Redd,1989-01-01,375546,30,0.836,0.0302,0.836,0.711,0.535,0.0837,-9.323,0.0884,117.909,4
148,A Night To Remember,A Night to Remember,Shalamar,1999-01-01,211253,58,0.77,0.298,0.77,0.827,0.000357,0.199,-8.754,0.0369,109.058,4
149,"Put Your Body In It - 12"" Version",The Best Of Stephanie Mills,Stephanie Mills,1995-01-01,360745,0,0.772,0.109,0.772,0.515,0.0665,0.0482,-13.69,0.0504,118.061,4
150,Spank - Special DJ Remix,The Very Best Of The Tk Years,"Jimmy ""Bo"" Horne",2013-01-18,418666,23,0.816,0.0392,0.816,0.591,0.359,0.0628,-9.947,0.0396,118.303,4
151,Spacer,"Intégrale (exclus À 17 ans ""At Seventeen"", En duo avec Claude François)",Sheila,2006-10-30,354240,28,0.741,0.258,0.741,0.757,0.0,0.109,-8.55,0.0418,135.694,4
152,Alexandrie Alexandra,Best Of,Claude François,2008-01-28,262186,38,0.588,0.108,0.588,0.938,1.27e-06,0.0717,-4.443,0.156,126.086,4
153,Another Star,Songs In The Key Of Life (Reissue),Stevie Wonder,1976-09-28,508226,0,0.57,0.102,0.57,0.844,0.000176,0.0914,-9.684,0.0492,121.975,4
154,He's the Greatest Dancer,We Are Family,Sister Sledge,1979-02-15,375400,64,0.7,0.00115,0.7,0.816,0.00123,0.0901,-9.711,0.044,113.244,4
155,Boogie Wonderland,I Am,"Earth, Wind & Fire",1979-06,288293,74,0.802,0.0843,0.802,0.756,0.00765,0.0521,-10.791,0.0349,131.715,4
156,Bad Girls,Bad Girls,Donna Summer,1979-01-01,295106,0,0.857,0.00387,0.857,0.7,0.0164,0.411,-14.506,0.0358,120.529,4
157,Never Too Much,Never Too Much,Luther Vandross,1981-07-23,230466,71,0.734,0.125,0.734,0.586,0.0,0.0367,-11.866,0.129,109.933,4
158,I'll Never Forget (My Favorite Disco),Time Is Slipping Away,Dexter Wansel,1979-06-15,274226,34,0.756,0.0254,0.756,0.821,6.55e-05,0.227,-7.765,0.0613,118.236,4
159,I Hear Music in the Streets,Searching to Find the One,Unlimited Touch,1980,413573,40,0.697,0.00842,0.697,0.582,0.344,0.0843,-12.173,0.114,115.929,4
160,Stand On The Word - Larry Levan Mix,Unabombers: Electric Chair Saved My Life,Various Artists,2008-10-06,282853,0,0.712,0.47,0.712,0.701,0.00273,0.076,-8.235,0.0485,107.897,4
